timestamp,round,accuracy,flops,memory,memory_saved,communication,sparsity,skipped_batches,effective_compute_ratio,compression_ratio,download_bytes,upload_bytes,model_size_bytes,quantization_error,avg_scale_factor
2025-06-03 10:52:09,1,0.17748296228986823,12092342000.0,1.8173942565917969,0.0,18684280,0.9356481301608959,534,0.79879427279578,1.0,9342140,9342140,1868428,6.303435754109037e-05,8933.263669620068
2025-06-03 10:53:51,2,0.1865515674693321,9781015039.6,3.5992660522460938,0.0,18684280,0.9499999999999998,939,0.6461944235116805,1.0,9342140,9342140,1868428,5.957601684208632e-05,9439.763443479384
2025-06-03 10:55:31,3,0.19149477510222626,9416857574.0,3.5992660522460938,0.0,18684280,0.95,1003,0.6220798794272796,1.0,9342140,9342140,1868428,5.7268771505365115e-05,9953.63540685207
2025-06-03 10:57:13,4,0.19745570195365744,9239920808.0,3.5992660522460938,0.0,18684280,0.95,1034,0.6103993971363979,1.0,9342140,9342140,1868428,5.557149112219997e-05,10354.487467371957
2025-06-03 10:58:56,5,0.20094502498864153,8977424972.0,3.5992660522460938,0.0,18684280,0.95,1080,0.5930670685757347,1.0,9342140,9342140,1868428,5.4274511676648794e-05,10685.406203053068
2025-06-03 11:00:33,6,0.20465243071331213,8606577251.6,3.5992660522460938,0.0,18684280,0.9499999999999998,1145,0.5685757347400151,1.0,9342140,9342140,1868428,5.321012453530389e-05,10998.384517916762
2025-06-03 11:02:09,7,0.2080690595184007,8486679865.6,3.5992660522460938,0.0,18684280,0.9499999999999998,1166,0.560663149962321,1.0,9342140,9342140,1868428,5.2351142980977366e-05,11199.620129919618
2025-06-03 11:03:44,8,0.21119491140390728,8201804092.0,3.5992660522460938,0.0,18684280,0.95,1216,0.5418236623963828,1.0,9342140,9342140,1868428,5.1721162019019e-05,11322.519627124806
2025-06-03 11:05:19,9,0.21006815084052702,7967827946.0,3.5992660522460938,0.0,18684280,0.95,1257,0.5263752825923135,1.0,9342140,9342140,1868428,5.1184512274335436e-05,11433.812069716965
2025-06-03 11:06:54,10,0.2198091776465243,7950716132.0,3.5992660522460938,0.0,18684280,0.95,1260,0.5252449133383572,1.0,9342140,9342140,1868428,5.071602910281098e-05,11531.654544592371
2025-06-03 11:08:28,11,0.2196637891867333,7791005868.0,3.5992660522460938,0.0,18684280,0.95,1288,0.5146948003014318,1.0,9342140,9342140,1868428,5.031415651165489e-05,11589.270953417918
2025-06-03 11:10:01,12,0.22720581553839164,7654363669.6,3.5992660522460938,0.0,18684280,0.95,1312,0.5056518462697814,1.0,9342140,9342140,1868428,5.0032708025292175e-05,11622.054179222398
2025-06-03 11:11:36,13,0.22304407087687417,7853083995.6,3.5992660522460938,0.0,18684280,0.95,1277,0.5188394875659382,1.0,9342140,9342140,1868428,4.977301465357004e-05,11660.889952052497
