timestamp,round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor,memory_saved,download_bytes,upload_bytes,model_size_bytes,communication_KB,communication_MB,download_KB,upload_KB,model_size_KB
2025-05-19 14:37:06,1,89.4877776784663,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-19 14:37:54,2,95.74070184668697,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-19 14:38:43,3,96.58172787507021,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-19 14:39:31,4,96.97581637039359,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-19 14:40:19,5,97.19536931562104,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-19 14:41:08,6,97.33643271128133,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-19 14:41:55,7,97.43661285408614,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-19 14:42:42,8,97.602163083358,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-19 14:43:28,9,97.67591740909182,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-19 14:44:15,10,97.7486961776614,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-19 14:45:02,11,97.80800568274609,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-19 14:45:49,12,97.89633813113798,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-19 14:46:36,13,98.03995160536337,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-19 14:47:23,14,98.0535752633161,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-19 14:48:09,15,97.99290880496639,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-19 14:48:56,16,98.1333791600862,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-19 14:49:43,17,98.19585282158444,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-19 14:50:30,18,98.19696447730155,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-19 14:51:17,19,98.21126374510473,11003766151.2,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
