timestamp,round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor,memory_saved,download_bytes,upload_bytes,model_size_bytes,communication_KB,communication_MB,download_KB,upload_KB,model_size_KB
2025-05-18 12:06:37,1,47.19972219582558,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:07:27,2,77.84078261264891,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:08:16,3,85.28469539904549,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:09:06,4,87.69195300730634,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:09:55,5,89.0679774557713,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:10:47,6,89.83709307702989,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:11:40,7,90.70226563090178,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:12:29,8,91.25780106347494,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:13:17,9,91.80982821677284,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:14:06,10,92.16196359821689,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:14:54,11,92.47186103303022,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:15:43,12,92.85047279177277,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:16:31,13,93.1847955065848,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:17:20,14,93.39435130110557,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:18:09,15,93.75363764222413,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:18:57,16,93.82577851532272,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:19:46,17,94.01670772773505,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:20:34,18,94.16207479515,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:21:23,19,94.35981041052783,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:22:12,20,94.52611893742885,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:23:00,21,94.6660951109776,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
2025-05-18 12:23:49,22,94.75148121114321,10997906850.8,23.139968872070312,65034640.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0,32517320.0,32517320.0,6503464.0,63510.390625,62.02186584472656,31755.1953125,31755.1953125,6351.0390625
