timestamp,round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio,quantization_error,avg_scale_factor,memory_saved,download_bytes,upload_bytes,model_size_bytes,proximal_loss,communication_KB,communication_MB,download_KB,upload_KB,model_size_KB
2025-06-14 22:55:19,1,0.1943480236256247,15211286279.6,1.8173942565917969,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 22:56:24,2,0.31640163562017265,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 22:57:30,3,0.3986551567469332,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 22:58:36,4,0.45971830985915496,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 22:59:41,5,0.5228169014084507,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:00:47,6,0.5641435711040436,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:01:52,7,0.5986551567469333,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:02:57,8,0.6177192185370286,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:04:03,9,0.6500136301681054,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:05:08,10,0.6716219900045435,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:06:13,11,0.6782008178100863,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:07:14,12,0.6919036801453884,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:08:14,13,0.7035711040436166,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:09:14,14,0.7089504770558837,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:10:14,15,0.7303771013175829,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:11:15,16,0.7335211267605632,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:12:15,17,0.7334484325306679,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:13:15,18,0.741026805997274,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:14:15,19,0.7495320308950477,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:15:15,20,0.7459518400726942,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:16:15,21,0.7572921399363925,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:17:15,22,0.762489777373921,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:18:15,23,0.7623989095865517,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:19:14,24,0.7672330758746024,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:20:12,25,0.766269877328487,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:21:09,26,0.7727760109041345,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:22:09,27,0.7753203089504771,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
2025-06-14 23:23:10,28,0.777046796910495,15211286279.6,3.5992660522460938,18684280,0.0,0.0,0.0,0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18246.3671875,17.81871795654297,0.0,0.0,0.0
