round,accuracy,flops,memory_bytes,communication_bytes,sparsity,avg_grad_norm,avg_phi,skipped_batches,effective_compute_ratio,compression_ratio
1,0.3220223956565999,215188765.43617356,829.53515625,3628543.9999999995,0.07255540014609005,1.7095471591919948,0.3,0,1.0,0.9444060399610218
2,0.21309806582965723,220120446.93048126,846.8359375,3651712.0,0.0512088249987783,19.77001244061391,0.5968044512288497,0,1.0,0.9504360065630023
1,0.3208686800135731,216111781.01574028,825.70703125,3628255.9999999995,0.06854165490094635,1.7105569071857656,0.503,0,1.0,0.9443310818126546
2,0.2154733627417713,220143270.3109398,841.9453125,3650172.8,0.05111021693434522,23.99978900619065,0.5214707534086854,0,1.0,0.9500353969033956
3,0.197964031218188,220294020.66883132,842.57421875,3610892.7999999993,0.05045683794957177,123.65289595542785,0.5182067258057451,0,1.0,0.93981193833443
4,0.1683746182558534,220243387.78361756,843.40234375,3604291.1999999993,0.0506750529108478,66.11163549950541,0.5048979032420238,0,1.0,0.9380937310001916
5,0.2517136070580251,220191199.90535092,843.0625,3601504.0,0.050900000410070104,78.2736019695068,0.5121126501811232,0,1.0,0.9373683026976605
6,0.2570071258907364,196417124.99926955,843.22265625,3560102.3999999994,0.051125000003550344,88.90391036955401,0.5059793617031172,25,0.8922294172062903,0.9265926524357234
7,0.2846963013233797,129016399.99999084,843.50390625,3549705.5999999996,0.05135000000006791,90.90349910740629,0.5134530435695039,95,0.5904717853839038,0.9238866632796688
8,0.23583305055989143,22762199.99999975,843.5234375,3493817.5999999996,0.05157500000000913,105.56252106916745,0.502221693669803,208,0.1035152636447734,0.9093406181548636
9,0.3144893111638955,18015799.999999903,843.60546875,3483110.4,0.051800000000005744,100.1094266080366,0.5099240831234706,213,0.08177613320999075,0.9065538407722356
10,0.33708856464200887,17063549.999999925,843.23828125,3488489.5999999996,0.052025000000003985,119.32154239531448,0.5122083208784376,213,0.08186864014801112,0.9079538924100711
11,0.3357991177468612,19902749.999999937,843.30859375,3495372.8,0.05225000000000259,111.28482419746874,0.5176431180376354,210,0.09481961147086031,0.9097453921560462
12,0.2892432982694265,15160399.99999997,843.23828125,3490761.5999999996,0.0524750000000017,138.75640203586812,0.5104827909238561,216,0.06901017576318222,0.9085452289138565
13,0.33817441465897524,18945999.999999978,843.30859375,3496054.3999999994,0.05270000000000121,137.91928384698605,0.5134139535527245,212,0.08593894542090655,0.9099227931071818
14,0.31727180183237186,16100274.999999985,843.30859375,3489420.8,0.05292500000000089,158.71488138427293,0.5091061978879524,215,0.0732654949121184,0.9081962570897916
15,0.33057346454021036,20830699.999999985,843.33203125,3488319.9999999995,0.05315000000000063,166.18280119985837,0.5138245835241941,210,0.09509713228492138,0.9079097503893659
16,0.30505598914149984,18932499.999999993,843.24609375,3485679.9999999995,0.05337500000000043,211.9118670147685,0.5229608730066898,212,0.08640148011100832,0.9072226340293337
17,0.32697658635900917,14195999.999999996,843.25,3478492.8,0.053600000000000356,219.83719799300906,0.5171059128068864,216,0.06891766882516186,0.9053520117934153
18,0.33423820834747203,15138799.999999996,843.19140625,3473183.999999999,0.0538250000000003,250.42173710680626,0.5145977988199111,216,0.06901017576318222,0.903970283258514
19,0.2582287071598236,14189249.999999996,843.25390625,3466262.3999999994,0.05405000000000028,294.5667842779865,0.5173677560045686,216,0.06891766882516186,0.9021687890927566
20,0.2924329826942654,17968774.999999993,843.265625,3469184.0,0.054275000000000274,276.5097616735343,0.5284196600640831,213,0.08205365402405182,0.9029291978645256
21,0.3388530709195792,14182499.999999996,843.23046875,3457359.9999999995,0.054500000000000284,266.723904606254,0.5170235524413973,217,0.06466234967622568,0.8998517494398961
22,0.32697658635900917,16069674.999999996,843.20703125,3456758.3999999994,0.05472500000000028,267.0836241860235,0.5153181285233196,215,0.0730804810360777,0.8996951701966402
23,0.30111978282999663,21736149.999999996,836.1328125,3459459.1999999997,0.054950000000000276,258.48241840341257,0.5151683208375089,209,0.09879740980573544,0.9003981110546612
24,0.3074312860536138,20786149.999999993,836.20703125,3465692.8,0.05517500000000027,284.4209202570477,0.509304027676398,209,0.09925994449583722,0.9020205385326526
25,0.26141839158466235,17002799.999999993,836.23828125,3450902.4,0.05540000000000028,284.53828237594706,0.5166620981918114,213,0.0818686401480111,0.8981710211798413
26,0.3310485239226332,14165624.999999996,836.20703125,3438617.5999999996,0.05562500000000028,235.9237736813056,0.5173081994188481,217,0.06475485661424604,0.8949736397178242
27,0.3391245334238209,15106399.999999996,836.21875,3437651.1999999993,0.055850000000000274,227.85117130022368,0.5099035519687705,216,0.06891766882516186,0.8947221134866367
28,0.3205972175093315,18878499.999999993,836.22265625,3442598.4,0.05607500000000028,250.33240953737123,0.5106277218516329,212,0.08630897317298798,0.8960097279019215
29,0.3460468272819817,16042899.999999996,836.22265625,3434508.8,0.05630000000000028,252.73881027617608,0.5232401740522975,215,0.07335800185013874,0.8939042368011194
30,0.33478113335595516,15054901.999999996,835.9453125,3420825.599999999,0.05855990000000029,231.69483907191244,0.5191173556000643,216,0.06901017576318222,0.890342891885364
31,0.32982694265354595,19640924.213999994,836.29296875,3430044.8,0.06511628930000027,234.39839529595343,0.510007271109378,211,0.09056429232192416,0.8927423855014284
32,0.3321343739395996,16808752.793086197,836.32421875,3410428.8,0.06802148046092024,246.69743113725403,0.5220755596661382,214,0.0774283071230342,0.8876369027293095
33,0.32908042076688154,13114176.55044438,837.38671875,3382764.7999999993,0.06570234495556185,250.05927880808468,0.5218844194591572,218,0.060407030527289504,0.880436756144486
34,0.37034272141160507,16867734.676216282,837.484375,3384099.1999999997,0.0639993549189146,238.28246846885423,0.5152415348605319,214,0.07770582793709528,0.8807840622319205
35,0.343739395995928,15947777.750624992,837.51953125,3368636.8,0.06246148329166721,251.18557472513504,0.523105507320999,215,0.07317298797409806,0.8767596425329192
36,0.3496437054631829,14965302.604116254,837.5546875,3325984.0,0.06330986979418737,287.04312384577906,0.5086385333347379,216,0.06901017576318222,0.8656583407597425
37,0.3362063115032236,16717642.606658777,837.5546875,3308073.599999999,0.06598524644470755,270.13467502872857,0.514736713617538,214,0.0774283071230342,0.8609967767996202
38,0.35588734306073977,17781526.292074453,837.5234375,3322684.7999999993,0.06273694831702202,251.20029184603132,0.5127502253281009,212,0.08603145235892691,0.8647996535267809
39,0.3556158805564981,17832643.62289815,837.55859375,3273823.9999999995,0.06129531885509245,291.69530775302366,0.5073471900296441,213,0.0818686401480111,0.8520825872221343
40,0.3491686460807601,16913553.22720882,837.5625,3234153.6,0.060674784852745446,290.5358751117168,0.514901232142099,214,0.07770582793709531,0.8417575187187154
41,0.3599592806243638,17852536.610631514,837.50390625,3193571.1999999997,0.06032316946842429,329.97756838653567,0.5092664662590336,213,0.08177613320999075,0.8311950827454672
42,0.3527655242619613,14097890.726947766,845.76953125,3058883.2,0.06014061820348223,303.3537169222707,0.5142532261018158,217,0.06466234967622571,0.7961396553590911
43,0.370342721411605,18798246.103737246,845.76953125,3092009.5999999996,0.0600876948131376,314.2466829221722,0.5073227825876122,212,0.08621646623496763,0.8047615081579451
